Wall time,Step,Value
1682910515.289334,500,2.1147000789642334
1682911086.6897001,1000,0.47609999775886536
1682911660.2434316,1500,0.4162999987602234
1682912381.1996663,2000,0.3808000087738037
1682912958.252311,2500,0.35199999809265137
1682913536.6432774,3000,0.3294999897480011
1682914260.4829903,3500,0.3052000105381012
1682914837.2182353,4000,0.28870001435279846
1682915412.6931686,4500,0.2799000144004822
1682916137.6068847,5000,0.2517000138759613
1682916712.846387,5500,0.24089999496936798
